cf,units,quantity,transformation,state,substance,process,condition,fraction,coordinate,source,spectral_band,energy,medium_realm,temperature,model,statistics,vector component,angle,surface,role,scientific_component,reported_on,at_surface_or_condition,due_to,to_,in_substance_or_realm,expressed_as_substance_or_property,assuming_condition,defined_by,for_,into_,below_,over_,above_,from_,wrt_1,product_and_,ratio_of,ratio_to_,wrt_2,by_,excluding_,reflected_by,out_of,accumulated_in_,difference_between_,difference_and_,superfluous
mass_concentration_of_cloud_liquid_water_in_air,kg m-3,mass,concentration_of,liquid,water,,,,,,,,cloud,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_clox_expressed_as_chlorine_in_air,kg m-3,mass,concentration_of,,clox,,,,,,,,,,,,,,,,,,,,,air,chlorine,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_condensed_water_in_soil,kg m-3,mass,concentration_of,condensed,water,,,,,,,,,,,,,,,,,,,,,soil,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_diatoms_expressed_as_carbon_in_sea_water,kg m-3,mass,concentration_of,,diatoms,,,,,,,,,,,,,,,,,,,,,sea_water,carbon,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,kg m-3,mass,concentration_of,,diatoms,,,,,,,,,,,,,,,,,,,,,sea_water,chlorophyll,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_diatoms_expressed_as_nitrogen_in_sea_water,kg m-3,mass,concentration_of,,diatoms,,,,,,,,,,,,,,,,,,,,,sea_water,nitrogen,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_diazotrophs_expressed_as_chlorophyll_in_sea_water,kg m-3,mass,concentration_of,,diazotrophs,,,,,,,,,,,,,,,,,,,,,sea_water,chlorophyll,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_dichlorine_peroxide_in_air,kg m-3,mass,concentration_of,,dichlorine_peroxide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_dimethyl_sulfide_in_air,kg m-3,mass,concentration_of,,dimethyl_sulfide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_dinitrogen_pentoxide_in_air,kg m-3,mass,concentration_of,,dinitrogen_pentoxide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_drizzle_in_air,kg m-3,mass,concentration_of,,drizzle,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_dust_dry_aerosol_in_air,kg m-3,mass,concentration_of,"dry, aerosol",dust,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_ethane_in_air,kg m-3,mass,concentration_of,,ethane,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_ethanol_in_air,kg m-3,mass,concentration_of,,ethanol,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_ethene_in_air,kg m-3,mass,concentration_of,,ethene,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_ethyne_in_air,kg m-3,mass,concentration_of,,ethyne,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_flagellates_expressed_as_carbon_in_sea_water,kg m-3,mass,concentration_of,,flagellates,,,,,,,,,,,,,,,,,,,,,sea_water,carbon,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_flagellates_expressed_as_nitrogen_in_sea_water,kg m-3,mass,concentration_of,,flagellates,,,,,,,,,,,,,,,,,,,,,sea_water,nitrogen,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_formaldehyde_in_air,kg m-3,mass,concentration_of,,formaldehyde,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_formic_acid_in_air,kg m-3,mass,concentration_of,,formic_acid,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_gaseous_divalent_mercury_in_air,kg m-3,mass,concentration_of,"gaseous, divalent",mercury,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_gaseous_elemental_mercury_in_air,kg m-3,mass,concentration_of,"gaseous, elemental",mercury,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_halon1202_in_air,kg m-3,mass,concentration_of,,halon1202,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_halon1211_in_air,kg m-3,mass,concentration_of,,halon1211,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_halon1301_in_air,kg m-3,mass,concentration_of,,halon1301,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_halon2402_in_air,kg m-3,mass,concentration_of,,halon2402,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hcc140a_in_air,kg m-3,mass,concentration_of,,hcfc140a,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hcfc141b_in_air,kg m-3,mass,concentration_of,,hcfc141b,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hcfc142b_in_air,kg m-3,mass,concentration_of,,hcfc142b,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hcfc22_in_air,kg m-3,mass,concentration_of,,hcfc22,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hexachlorobiphenyl_in_air,kg m-3,mass,concentration_of,,hexachlorobiphenyl,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hox_expressed_as_hydrogen_in_air,kg m-3,mass,concentration_of,,hox,,,,,,,,,,,,,,,,,,,,,air,hydrogen,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hydrogen_bromide_in_air,kg m-3,mass,concentration_of,,hydrogen_bromide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hydrogen_chloride_in_air,kg m-3,mass,concentration_of,,hydrogen_chloride,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hydrogen_cyanide_in_air,kg m-3,mass,concentration_of,,hydrogen_cyanide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hydrogen_peroxide_in_air,kg m-3,mass,concentration_of,,hydrogen_peroxide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hydroperoxyl_radical_in_air,kg m-3,mass,concentration_of,,hydroperoxyl_radical,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hydroxyl_radical_in_air,kg m-3,mass,concentration_of,,hydroxyl_radical,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hypobromous_acid_in_air,kg m-3,mass,concentration_of,,hypobromous_acid,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_hypochlorous_acid_in_air,kg m-3,mass,concentration_of,,hypochlorous_acid,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_inorganic_bromine_in_air,kg m-3,mass,concentration_of,inorganic,bromine,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_inorganic_chlorine_in_air,kg m-3,mass,concentration_of,inorganic,chlorine,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_inorganic_nitrogen_in_sea_water,kg m-3,mass,concentration_of,inorganic,nitrogen,,,,,,,,,,,,,,,,,,,,,sea_water,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_isoprene_in_air,kg m-3,mass,concentration_of,,isoprene,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_limonene_in_air,kg m-3,mass,concentration_of,,limonene,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_liquid_water_in_air,kg m-3,mass,concentration_of,liquid,water,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_mercury_dry_aerosol_in_air,kg m-3,mass,concentration_of,"dry, aerosol",mercury,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_methane_in_air,kg m-3,mass,concentration_of,,methane,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_methanol_in_air,kg m-3,mass,concentration_of,,methanol,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_methyl_bromide_in_air,kg m-3,mass,concentration_of,,methyl_bromide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_methyl_chloride_in_air,kg m-3,mass,concentration_of,,methyl_chloride,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_methyl_hydroperoxide_in_air,kg m-3,mass,concentration_of,,methyl_hydroperoxide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_methyl_peroxy_radical_in_air,kg m-3,mass,concentration_of,,methyl_peroxy_radical,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,mass,concentration_of,,phytoplankton,,,,,,,,,,,,,,,miscellaneous,,,,,,sea_water,chlorophyll,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_molecular_hydrogen_in_air,kg m-3,mass,concentration_of,molecular,hydrogen,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nitrate_dry_aerosol_in_air,kg m-3,mass,concentration_of,"dry, aerosol",nitrate,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nitrate_radical_in_air,kg m-3,mass,concentration_of,,nitrate_radical,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nitric_acid_in_air,kg m-3,mass,concentration_of,,nitric_acid,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nitric_acid_trihydrate_ambient_aerosol_in_air,kg m-3,mass,concentration_of,ambient,nitric_acid_trihydrate_aerosol,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nitrogen_dioxide_in_air,kg m-3,mass,concentration_of,,nitrogen_dioxide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nitrogen_monoxide_in_air,kg m-3,mass,concentration_of,,nitrogen_monoxide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nitrous_acid_in_air,kg m-3,mass,concentration_of,,nitrous_acid,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nitrous_oxide_in_air,kg m-3,mass,concentration_of,,nitrous_oxide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nmvoc_expressed_as_carbon_in_air,kg m-3,mass,concentration_of,,nmvoc,,,,,,,,,,,,,,,,,,,,,air,carbon,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_nox_expressed_as_nitrogen_in_air,kg m-3,mass,concentration_of,,nox,,,,,,,,,,,,,,,,,,,,,air,nitrogen,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_noy_expressed_as_nitrogen_in_air,kg m-3,mass,concentration_of,,noy,,,,,,,,,,,,,,,,,,,,,air,nitrogen,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,kg m-3,mass,concentration_of,organic,detritus,,,,,,,,,,,,,,,,,,,,,sea_water,carbon,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_organic_detritus_expressed_as_nitrogen_in_sea_water,kg m-3,mass,concentration_of,organic,detritus,,,,,,,,,,,,,,,,,,,,,sea_water,nitrogen,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_oxygen_in_sea_water,kg m-3,mass,concentration_of,,oxygen,,,,,,,,,,,,,,,,,,,,,sea_water,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_oxygenated_hydrocarbons_in_air,kg m-3,mass,concentration_of,oxygenated,hydrocarbons,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_ozone_in_air,kg m-3,mass,concentration_of,,ozone,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air,kg m-3,mass,concentration_of,"particulate, organic, dry, aerosol",matter,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_peroxy_radicals_in_air,kg m-3,mass,concentration_of,,peroxy_radicals,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_peroxyacetyl_nitrate_in_air,kg m-3,mass,concentration_of,,peroxyacetyl_nitrate,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_peroxynitric_acid_in_air,kg m-3,mass,concentration_of,,peroxynitric_acid,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_phosphate_in_sea_water,kg m-3,mass,concentration_of,,phosphate,,,,,,,,,,,,,,,,,,,,,sea_water,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,mass,concentration_of,,phytoplankton,,,,,,,,,,,,,,,,,,,,,sea_water,chlorophyll,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,mass,concentration_of,,picophytoplankton,,,,,,,,,,,,,,,,,,,,,sea_water,chlorophyll,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_in_ air,kg m-3,mass,concentration_of,"particulate, organic, dry, aerosol",matter,,,,,,,,,,,,,,,primary,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_propane_in_air,kg m-3,mass,concentration_of,,propane,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_propene_in_air,kg m-3,mass,concentration_of,,propene,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_radon_in_air,kg m-3,mass,concentration_of,,radon,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_rain_in_air,kg m-3,mass,concentration_of,,rain,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_seasalt_dry_aerosol_in_air,kg m-3,mass,concentration_of,"dry, aerosol",seasalt,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air,kg m-3,mass,concentration_of,"particulate, organic, dry, aerosol",matter,,,,,,,,,,,,,,,secondary,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_silicate_in_sea_water,kg m-3,mass,concentration_of,,silicate,,,,,,,,,,,,,,,,,,,,,sea_water,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_sulfate_ambient_aerosol_in_air,kg m-3,mass,concentration_of,"ambient, aerosol",sulfate,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_sulfate_dry_aerosol_in_air,kg m-3,mass,concentration_of,"dry, aerosol",sulfate,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_sulfur_dioxide_in_air,kg m-3,mass,concentration_of,,sulfur_dioxide,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_suspended_matter_in_sea_water,kg m-3,mass,concentration_of,suspended,matter,,,,,,,,,,,,,,,,,,,,,sea_water,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_terpenes_in_air,kg m-3,mass,concentration_of,,terpenes,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_toluene_in_air,kg m-3,mass,concentration_of,,toluene,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_water_in_ambient_aerosol_in_air,kg m-3,mass,concentration_of,"ambient, aerosol",water,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_water_vapor_in_air,kg m-3,mass,concentration_of,vapor,water,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_concentration_of_xylene_in_air,kg m-3,mass,concentration_of,,xylene,,,,,,,,,,,,,,,,,,,,,air,,,,,,,,,,time,,,,,,,,,,,,
mass_fraction_of_acetic_acid_in_air,1,fraction_of,,,acetic_acid,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_aceto_nitrile_in_air,1,fraction_of,,,aceto_nitrile,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_alkanes_in_air,1,fraction_of,,,alkanes,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_alkenes_in_air,1,fraction_of,,,alkenes,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_alpha_hexachlorocyclohexane_in_air,1,fraction,,,alpha_hexachlorocyclohexane,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_alpha_pinene_in_air,1,fraction,,,alpha_pinene,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_ammonia_in_air,1,fraction_of,,,ammonia,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_ammonium_dry_aerosol_in_air,1,fraction_of,,"dry, aerosol",ammonium,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_anthropogenic_nmvoc_expressed_as_carbon_in_air,1,fraction,,,nmvoc,,,mass,,,,,,,,,,,,anthropogenic,,,,,,air,carbon,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_aromatic_compounds_in_air,1,fraction,,aromatic,compounds,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_atomic_bromine_in_air,1,fraction,,atomic,bromine,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_atomic_chlorine_in_air,1,fraction,,atomic,chlorine,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_atomic_nitrogen_in_air,1,fraction,,atomic,nitrogen,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_benzene_in_air,1,fraction,,,benzene,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_beta_pinene_in_air,1,fraction,,,beta_pinene,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_biogenic_nmvoc_expressed_as_carbon_in_air,1,fraction,,,nmvoc,,,mass,,,,,,,,,,,,biogenic,,,,,,air,carbon,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_black_carbon_dry_aerosol_in_air,1,fraction,,"black, dry, aerosol",carbon,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_bromine_chloride_in_air,1,fraction,,,bromine_chloride,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_bromine_monoxide_in_air,1,fraction,,,bromine_monoxide,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_bromine_nitrate_in_air,1,fraction,,,bromine_nitrate,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_brox_expressed_as_bromine_in_air,1,fraction,,,brox,,,mass,,,,,,,,,,,,,,,,,,air,bromine,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_butane_in_air,1,fraction,,,butane,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_carbon_dioxide_in_air,1,fraction,,,carbon_dioxide,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_carbon_monoxide_in_air,1,fraction,,,carbon_monoxide,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_carbon_tetrachloride_in_air,1,fraction,,,carbon_tetrachloride,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_cfc11_in_air,1,fraction,,,cfc11,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_cfc113_in_air,1,fraction,,,cfc113,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_cfc113a_in_air,1,fraction,,,cfc113a,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_cfc114_in_air,1,fraction,,,cfc114,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_cfc115_in_air,1,fraction,,,cfc115,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_cfc12_in_air,1,fraction,,,cfc12,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_chlorine_dioxide_in_air,1,fraction,,,chlorine_dioxide,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_chlorine_monoxide_in_air,1,fraction,,,chlorine_monoxide,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_chlorine_nitrate_in_air,1,fraction,,,chlorine_nitrate,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_cloud_condensed_water_in_air,1,fraction,,condensed,water,,,mass,,,,,cloud,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_cloud_ice_in_air,1,fraction,,,ice,,,mass,,,,,cloud,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_cloud_liquid_water_in_air,1,fraction,,liquid,water,,,mass,,,,,cloud,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_clox_expressed_as_chlorine_in_air,1,fraction,,,clox,,,mass,,,,,,,,,,,,,,,,,,air,chlorine,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_convective_cloud_condensed_water_in_air,1,fraction,,"condensed, convective",water,,,mass,,,,,cloud,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_convective_cloud_ice_in_air,1,fraction,,convective,ice,,,mass,,,,,cloud,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_convective_cloud_liquid_water_in_air,1,fraction,,"liquid, convective",water,,,mass,,,,,cloud,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_dichlorine_peroxide_in_air,1,fraction,,,dichlorine_peroxide,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_dimethyl_sulfide_in_air,1,fraction,,,dimethyl_sulfide,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_dinitrogen_pentoxide_in_air,1,fraction,,,dinitrogen_pentoxide,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_dust_dry_aerosol_in_air,1,fraction,,"dry, aerosol",dust,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_ethane_in_air,1,fraction,,,ethane,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_ethanol_in_air,1,fraction,,,ethanol,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_ethene_in_air,1,fraction,,,ethene,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_ethyne_in_air,1,fraction,,,ethyne,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_formaldehyde_in_air,1,fraction,,,formaldehyde,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_formic_acid_in_air,1,fraction,,,formic_acid,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_frozen_water_in_soil_moisture,1,fraction,,frozen,water,,,mass,,,,,,,,,,,,,,,,,,soil_moisture,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_gaseous_divalent_mercury_in_air,1,fraction,,"gaseous, divalent",mercury,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_gaseous_elemental_mercury_in_air,1,fraction,,"gaseous, elemental",mercury,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_graupel_in_air,1,fraction,,,graupel,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_halon1202_in_air,1,fraction,,,halon1202,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_halon1211_in_air,1,fraction,,,halon1211,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
mass_fraction_of_halon1301_in_air,1,fraction,,,halon1301,,,mass,,,,,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,,,,,,,,
